Timestamp,Enter Your Password,Your mean shoe size In the European Continental system,Which program are you studying,Your height in International inches,Why are you taking this course,How many letters are there in the word Seattle
2024-09-04 10:26:41-03:00,#DAMIN&2024#,42.0,"MSc Software Design, ITU",180,It is the most exciting,7
2024-09-04 16:18:47-03:00,#DAMIN&2024#,37.0,MSc Elsewhere,65,It'll give me commercially useful skills,7
2024-09-05 10:45:03-03:00,#DAMIN&2024#,45.0,MSc Games ITU,193,It is the most exciting,7
2024-09-05 15:35:47-03:00,#DAMIN&2024#,43.5,"MSc Software Design, ITU",72,"I'm not sure, let's see how it works out",7
2024-09-05 16:40:58-03:00,#DAMIN&2024#,45.0,"MSc Software Design, ITU",71.66,This was mandatory for me;It'll give me commercially useful skills,7
2024-09-06 09:42:16-03:00,#DAMIN&2024#,44.0,"MSc Software Design, ITU",72.5,It is the most exciting;It'll give me commercially useful skills,7
2024-09-06 10:02:17-03:00,#DAMIN&2024#,40.0,"MSc Software Design, ITU","5'10""",This was mandatory for me;Would it be disruptive to have an SQL injection here?,7 or 8 i think
2024-09-06 11:13:59-03:00,#DAMIN&2024#,41.0,"MSc Software Design, ITU",66.5,"It is the most exciting;I'm not sure, let's see how it works out",7
2024-09-06 11:20:37-03:00,#DAMIN&2024#,46.0,"MSc Software Design, ITU",77.559,It is the most exciting,7
2024-09-06 11:23:21-03:00,#DAMIN&2024#,41.0,"MSc Software Design, ITU",70,"I'm not sure, let's see how it works out",7
2024-09-06 11:24:45-03:00,#DAMIN&2024#,39.0,"MSc Software Design, ITU",68.8976,This was mandatory for me,7
2024-09-06 11:24:48-03:00,#DAMIN&2024#,44.0,"MSc Software Design, ITU",71,This was mandatory for me,SEVEN
2024-09-06 11:28:38-03:00,#DAMIN&2024#,43.0,"MSc Software Design, ITU",70,It is the most exciting;This was mandatory for me,7
2024-09-06 11:31:26-03:00,#DAMIN&2024#,39.0,"MSc Software Design, ITU","60,6",It'll give me commercially useful skills;It's my specialisation,7
2024-09-06 11:45:29-03:00,#DAMIN&2024#,42.0,"MSc Software Design, ITU",72.8346,It is the most exciting;It'll give me commercially useful skills,7
2024-09-06 11:46:30-03:00,#DAMIN&2024#,39.0,"MSc Software Design, ITU",66,It is the most exciting;It'll give me commercially useful skills,7
2024-09-06 22:37:23-03:00,#DAMIN&2024#,40.0,"MSc Software Design, ITU",66.14,This was mandatory for me;It'll give me commercially useful skills,7
2024-09-07 23:43:20-03:00,#DAMIN&2024#,38.0,"MSc Software Design, ITU",163,to solve/optimise issues in the construction industry,7
2024-09-08 16:25:50-03:00,#DAMIN&2024#,42.0,"MSc Software Design, ITU",70.86614,It is the most exciting;It'll give me commercially useful skills,7
2024-09-13 09:22:48-03:00,#DAMIN&2024#,43.0,"MSc Software Design, ITU",187,This was mandatory for me,7
2024-09-13 09:28:24-03:00,#DAMIN&2024#,46.0,"MSc Software Design, ITU",71.65,It is the most exciting;This was mandatory for me,7
2024-09-13 09:48:18-03:00,#DAMIN&2024#,44.0,MSc Elsewhere,75,"I'm not sure, let's see how it works out;It'll give me commercially useful skills",7
2024-09-13 10:05:25-03:00,#DAMIN&2024#,37.0,"MSc Software Design, ITU",64.56,It is the most exciting;It'll give me commercially useful skills,7
2024-09-13 11:14:53-03:00,#DAMIN&2024#,37.0,"MSc Digitial Innovation and Management, ITU",66.9291339,It'll give me commercially useful skills,7
2024-09-13 11:59:35-03:00,#DAMIN&2024#,38.5,"MSc Software Design, ITU",168,It is the most exciting;It'll give me commercially useful skills,7
2024-09-14 22:51:39-03:00,#DAMIN&2024#,40.0,"MSc Software Design, ITU",70,It'll give me commercially useful skills,7
2024-09-15 16:03:31-03:00,#DAMIN&2024#,38.0,"MSc Software Design, ITU","65,75",This was mandatory for me;It'll give me commercially useful skills,7
2024-09-16 15:33:35-03:00,#DAMIN&2024#,9.0,"MSc Software Design, ITU","5,9",This was mandatory for me,7
2024-09-16 23:42:43-03:00,#DAMIN&2024#,45.0,"MSc Software Design, ITU",6'5,It is the most exciting,7
2024-09-17 10:34:06-03:00,#DAMIN&2024#,46.0,"MSc Software Design, ITU",75,It is the most exciting;It'll give me commercially useful skills,7
2024-09-17 12:40:52-03:00,#DAMIN&2024#,42.0,"MSc Digitial Innovation and Management, ITU","70,87",The other courses were even less attractive,7
2024-09-17 13:35:31-03:00,#DAMIN&2024#,45.0,"MSc Software Design, ITU",71,This was mandatory for me;It'll give me commercially useful skills,7
2024-09-17 14:57:49-03:00,#DAMIN&2024#,38.0,"MSc Digitial Innovation and Management, ITU",5.5,"The other courses were even less attractive;It is the most exciting;I'm not sure, let's see how it works out;It'll give me commercially useful skills",7
2024-09-18 14:33:25-03:00,#DAMIN&2024#,42.0,MSc Elsewhere,178,The other courses were even less attractive;It is the most exciting,7
2024-09-18 20:00:18-03:00,#DAMIN&2024#,42.0,"MSc Software Design, ITU",69.9,It is the most exciting,7
2024-09-19 20:25:11-03:00,#DAMIN&2024#,45.0,"MSc Software Design, ITU",6'4,It is the most exciting,7
2024-09-20 10:35:08-03:00,#DAMIN&2024#,46.0,"MSc Software Design, ITU",186,It'll give me commercially useful skills,7
2024-09-20 11:41:14-03:00,#DAMIN&2024#,42.0,"MSc Digitial Innovation and Management, ITU","5,7",The other courses were even less attractive,7
